x_post_id,created_at,lang,raw_text,translated_text
2053402764739551259,2026-05-10T09:12:24.000Z,en,MMDA ALERT: Road crash incident at EDSA Kamuning Flyover SB involving car and van as of 5:06 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053400624826667122,2026-05-10T09:03:53.000Z,en,MMDA ALERT: Road crash incident at EDSA SM North NB involving car and taxi as of 3:26 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053377679697879480,2026-05-10T07:32:43.000Z,en,MMDA ALERT: Road crash incident at C5 Ortigas Flyover NB involving a two motorcycles as of 3:16 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053351711029473455,2026-05-10T05:49:31.000Z,en,"Your bicycle lanes are useless. 2026 May 11 1pm, majority of said lanes are occupied by cars illegally parked around Annapolis, Missouri, Connecticut with “No Parking” signs in plain sight and enforcers doing nothing. What a joke. @franciszamora30 @sanjuancityncr @MMDA",
2053314019927396540,2026-05-10T03:19:45.000Z,en,MMDA ALERT: Road crash incident at Katipunan C.P Garcia SB involving motorcycle and bicycle as of 11:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053313618956206354,2026-05-10T03:18:10.000Z,en,MMDA ALERT: Stalled UV express due to flat tire at EDSA Trinoma NB as of 10:48 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053304817230188642,2026-05-10T02:43:11.000Z,en,"MMDA ALERT: Stalled SUV due to flat tire at EDSA SM North, North Ave. NB as of 10:23 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
2053299330338214047,2026-05-10T02:21:23.000Z,en,@RadioGenoa @govphOfficial @zerowastephl @MMDA @govphOfficial @Official_DILG @PHcities Phils catching up to Indonesia in waste problems,
2053288845970755813,2026-05-10T01:39:43.000Z,en,MMDA ALERT: Road crash incident at Sales Rotonda involving motorcycle and taxi as of 9:28 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053285288873746527,2026-05-10T01:25:35.000Z,en,"🚗 Pasay Coding Hours 2025 🇵🇭

🕖 Coding Hours:
7AM–10AM
5PM–8PM
✅ Window Hours: 10:01AM–4:59PM
📌 No Coding on Weekends
💰 Fine: ₱300–₱500
Stay updated with MMDA traffic rules and avoid violations. 🚦

🌐 https://t.co/Fvy4bk2hO7
#Pasay #CodingHours #MMDA #TrafficUpdate",
2053279458996683093,2026-05-10T01:02:25.000Z,en,MMDA ALERT: Stalled SUV due to mechanical trouble at Commonwealth Sandigan EB as of 8:46 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053253245079032161,2026-05-09T23:18:15.000Z,en,MMDA ALERT: Road crash incident at C5 before Lanuza Intersection NB involving car and tanker as of 7:02 AM. Two lanes occupied. MMDA enforcers are on site managing traffic. #mmda,
2053242018105884801,2026-05-09T22:33:39.000Z,en,MMDA ALERT: Road crash incident at Commonwealth Meralco U-turn slot EB involving 2 motorcycles as of 6:26 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053241661522858287,2026-05-09T22:32:14.000Z,en,MMDA ALERT: Road crash incident at C5 Lanuza NB involving PUJ and motorcycle as of 6:16 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053241595307450537,2026-05-09T22:31:58.000Z,en,MMDA ALERT: Hit and run incident at C5 J. Vargas NB involving 2 motorcycles as of 6:14 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053241564198269205,2026-05-09T22:31:50.000Z,en,MMDA ALERT: Stalled dump truck due to flat tire at East Ave. BIR WB as of 6:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053241497102004300,2026-05-09T22:31:34.000Z,en,"MMDA ALERT: Multiple Collision at Commonwealth Odigal WB involving 2 motorcycles, PUJ and car as of 6:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
2053237593844731987,2026-05-09T22:16:04.000Z,en,"Bandlab can go and suck a lemon. Que es esa mmda that now you only get to make one song every month??

You guys were heroes to me and you have betrayed me. ""Unlimited creativity"" my dead fishes.",
2053235081959895530,2026-05-09T22:06:05.000Z,en,CHUGGING WATER TO SOBER MYSELF UP SO THAT MMDA MAKES FULL EFFECT #youngho,
2053157431107334500,2026-05-09T16:57:32.000Z,en,MMDA ALERT: Stalled truck due to mechanical problem at C5 Katipunan Magsaysay NB as of 12:25 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053153785565098035,2026-05-09T16:43:02.000Z,en,MMDA ALERT: Road crash incident at C5 Katipunan Berkely NB involving Wing van and Tanker as of 12:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053152120241844488,2026-05-09T16:36:25.000Z,en,MMDA ALERT: Road crash incident at C5 Lanuza after intersection NB involving dump truck and taxi as of 12:12 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053145768916394003,2026-05-09T16:11:11.000Z,en,"@MMDA Thank you 😊.  This is very much appreciated. Traffic has eased up, and much better than before.
Maybe because cars have lessen due t high gasoliine cost",
2053129047279096233,2026-05-09T15:04:44.000Z,en,MMDA ALERT: Road crash incident at Mia road U-turn slot SB involving van and puj as of 10:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053125028712169648,2026-05-09T14:48:46.000Z,en,MMDA ALERT: Road crash incident at EDSA SM North NB involving SUV and car as of 10:38 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053110151746588867,2026-05-09T13:49:39.000Z,en,MMDA ALERT: Stalled closed van due to mechanical problem at C5 Katipunan Ave. Ayala Heights NB as of 9:45 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053097230752682363,2026-05-09T12:58:19.000Z,en,MMDA ALERT: Road crash incident at FB Harrison P. Ocampo Intersection SB involving a motorcycle as of 8:41 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053083478376542295,2026-05-09T12:03:40.000Z,en,MMDA ALERT: Road crash incident at Marcos Highway Burger King before U-turn Slot EB involving taxi and van as of 7:37 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053064678033793263,2026-05-09T10:48:57.000Z,en,MMDA ALERT: Road crash incident at Marcos Highway Santolan LRT in front of Petron EB involving truck and AUV as of 6:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053064344892752119,2026-05-09T10:47:38.000Z,en,MMDA ALERT: Road crash incident at J. Vargas Ave. Sapphire Road WB involving mixer and car as of 6:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053061342421258742,2026-05-09T10:35:42.000Z,en,MMDA ALERT: Road crash incident at Quirino Ave. Guazon in front of Petron SB involving wing van and car as of 6:26 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053060010981376478,2026-05-09T10:30:25.000Z,en,MMDA ALERT: Stalled taxi due to empty gas at EDSA Shaw blvd. tunnel SB as of 6:25 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053059530771292250,2026-05-09T10:28:30.000Z,en,MMDA ALERT: Road crash incident at C5 Kalayaan Avenue NB involving  motorcycle as of 6:13 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053058471864733847,2026-05-09T10:24:18.000Z,en,"FIRE ALERT: As of 6:06 PM. Ongoing fire incident at Gatchalian-1, Brgy. San Dionisio, Paranaque City involving a residential area. Now on its 2nd alarm. Firefighters on site. #mmda",
2053056052984463501,2026-05-09T10:14:41.000Z,en,MMDA ALERT: Road crash incident at EDSA Aurora Blvd intersection NB involving 2 motorcycles as of 5:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053055780216311826,2026-05-09T10:13:36.000Z,en,MMDA ALERT: Road crash incident at EDSA Connecticut in front of Ford SB involving AUV and SUV as of 5:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053055348618277289,2026-05-09T10:11:53.000Z,en,MMDA ALERT: Road crash incident at EDSA Megamall NB involving car and motorcycle as of 5:10 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053046956868681953,2026-05-09T09:38:32.000Z,en,"@TANGEDCO_Offcl no power supply for the past 3 hrs in MMDA colony, Arumbakkam. Kindly rectify the issue at the earliest.",
2053028562538786970,2026-05-09T08:25:27.000Z,en,MMDA ALERT: Road crash incident at C5 Green Meadows before Intersection NB involving 2 motorcycles as of 4:06 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053018786853421430,2026-05-09T07:46:36.000Z,en,MMDA ALERT: Stalled wing van due to flat tire at C5 Libis Flyover NB as of 3:32 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053017116413235620,2026-05-09T07:39:58.000Z,en,MMDA ALERT: Road crash incident at BMC corner EDSA involving AUV and SUV as of 3:32 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053017045621789138,2026-05-09T07:39:41.000Z,en,MMDA ALERT: Road crash incident at Quezon Ave. Welcome Rotonda EB involving motorcycle and AUV as of 3:28 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053011771229896760,2026-05-09T07:18:44.000Z,en,MMDA ALERT: Stalled bulk carrier due to mechanical problem at C5 Katipunan Ave. C.P Garcia before intersection SB as of 3:07 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053011724077547794,2026-05-09T07:18:32.000Z,en,MMDA ALERT: Road crash incident at Quirino Ave before Guazon Intersection SB involving taxi and SUV as of 3:07 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053010112915419467,2026-05-09T07:12:08.000Z,en,MMDA ALERT: Stalled car due to mechanical problem at Araneta Ave. Quezon Ave NB as of 2:58 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053006818050531523,2026-05-09T06:59:03.000Z,en,MMDA ALERT: Road crash incident at Marcos highway Felix Ave. EB involving motorcycle and car as of 2:26 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053006226905247987,2026-05-09T06:56:42.000Z,en,MMDA ALERT: Road crash incident at EDSA Guadalupe SB involving motorcycle and AUV as of 2:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053005505766084617,2026-05-09T06:53:50.000Z,en,MMDA ALERT: Stalled pick-up due to mechanical problem at Quezon Ave Miriam Defensor Santiago Ave tunnel WB as of 2:35 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2053004342018588775,2026-05-09T06:49:12.000Z,en,MMDA ALERT: Road crash incident at EDSA San Carlos Seminary SB involving motorcycle and AUV as of 2:04 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052990255066960171,2026-05-09T05:53:14.000Z,en,"MMDA ALERT: Multiple collision at Commonwealth Soliven EB involving PUJ, SUV and L300 as of 1:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
2052973310649180571,2026-05-09T04:45:54.000Z,en,MMDA ALERT: Road crash incident at A. Bonifacio Cloverleaf SB involving motorcycle and ambulance as of 12:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052972982314967375,2026-05-09T04:44:36.000Z,en,MMDA ALERT: Road crash incident at C5 Ortigas flyover SB involving wing van and SUV as of 12:07 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052961282362585395,2026-05-09T03:58:06.000Z,en,MMDA ALERT: Road crash incident at Quezon Ave. Agham WB involving taxi and van as of 11:50 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052960310252982697,2026-05-09T03:54:14.000Z,en,MMDA ALERT: Stalled dump truck due to mechanical problem at Katipunan B. Serrano WB as of 11:46 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052956750635258351,2026-05-09T03:40:06.000Z,en,MMDA ALERT: Stalled wing van due to mechanical problem at Katipunan Ateneo NB as of 11:35 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052956575766352300,2026-05-09T03:39:24.000Z,en,MMDA ALERT: Road crash incident at C5 Lanuza NB involving motorcycle and SUV as of 11:07 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052956416726683681,2026-05-09T03:38:46.000Z,en,MMDA ALERT: Stalled dump truck due to mechanical problem at Katipunan Ateneo NB as of 11:06 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052955663521980761,2026-05-09T03:35:46.000Z,en,MMDA ALERT: Road crash incident at EDSA Shaw tunnel SB involving motorcycle and SUV as of 10:55 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052950981001056604,2026-05-09T03:17:10.000Z,en,"@TANGEDCO_Offcl No Power in Mmda , Mathur , Madhavaram from Morning 5am. Pls Rectify the issue as soon as possible",
2052946930490077296,2026-05-09T03:01:04.000Z,en,"🇵🇭 A threat actor has allegedly leaked employee PII and payroll-related data associated with the Metropolitan Manila Development Authority (MMDA) on a cybercrime forum.

According to the post, the exposed information reportedly includes sensitive employee-related records and https://t.co/V1mv5mJkjD",
2052945659251306642,2026-05-09T02:56:01.000Z,en,MMDA ALERT: Road crash incident at BMC Hypermarket involving car and PUJ as of 10:53 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052939121354833937,2026-05-09T02:30:02.000Z,en,MMDA ALERT: Road crash incident at Katipunan CP Garcia NB involving car and motorcycle as of 10:13 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052938923538850157,2026-05-09T02:29:15.000Z,en,MMDA ALERT: Road crash incident at Katipunan Nawasa NB involving AUV and wing van as of 10:11 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052938700171153865,2026-05-09T02:28:22.000Z,en,MMDA ALERT: Road crash incident at EDSA Estrella NB involving SUV and closed van as of 10:10 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052937472204796092,2026-05-09T02:23:29.000Z,en,MMDA ALERT: Road crash incident at Quezon Ave. Capitol EB involving AUV and taxi as of 10:10 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052935290697003399,2026-05-09T02:14:49.000Z,en,MMDA ALERT: Road crash incident at EDSA Guadalupe SB involving motorcycle and car as of 10:09 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052921324612554828,2026-05-09T01:19:19.000Z,en,MMDA ALERT: Stalled truck due to mechanical problem at C5 Ortigas NB as of 8:49 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052919943016923138,2026-05-09T01:13:50.000Z,en,"@TVKMLPRABHU  Congrats Prabhu for elected as MLA for Madhavaram .
I am also from Mathur MMDA but Settled in US.

Congrats to you.. best of luck.",
2052900507304485058,2026-05-08T23:56:36.000Z,en,MMDA ALERT: Road crash incident at SLEX before golf course in front of Fairway Terraces involving motorcycle as of 7:47 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052896100424765784,2026-05-08T23:39:05.000Z,en,MMDA ALERT: Road crash incident at EDSA Kamuning WB involving motorcycle and bicycle as of 7:20 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052895742696804540,2026-05-08T23:37:40.000Z,en,MMDA ALERT: Road crash incident at Quezon Ave. Agham SB involving motorcycle as of 7:08 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052881571154456842,2026-05-08T22:41:21.000Z,en,MMDA ALERT: Road crash incident at EDSA Pasay road SB involving two motorcycles  as of 6:36 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,
2052881097177088161,2026-05-08T22:39:28.000Z,en,"MMDA ALERT: Road crash incident at Marcos highway Ligaya, WB involving motorcycle and modern jeep as of 6:18 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
2052881033641730063,2026-05-08T22:39:13.000Z,en,"MMDA ALERT: Multiple collision at C5 Blueridge, NB involving Armored van, car and PUJ as of 6:16 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",
