post_id,created_at,source_type,source_name,raw_text,source_url,major_event_type,major_event_flag,major_event_keyword
gdelt_7,20260601T191500Z,gdelt,gdelt,[GDELT] Nigerian teachers protest school abductions (Source: https://www.manilatimes.net/2026/06/02/world/americas-emea/nigerian-teachers-protest-school-abductions/2355940),https://www.manilatimes.net/2026/06/02/world/americas-emea/nigerian-teachers-protest-school-abductions/2355940,rally / protest,1,protest
gdelt_8,20260601T181500Z,gdelt,gdelt,[GDELT] Norman Schwarzkopf Desert Storm - Carried Pistol to Auction This June (Source: https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/norman-schwarzkopfs-desert-storm-carried-pistol-to-auction-this-june/2356176),https://www.manilatimes.net/2026/06/02/tmt-newswire/globenewswire/norman-schwarzkopfs-desert-storm-carried-pistol-to-auction-this-june/2356176,weather / flood alert,1,storm
gdelt_32,20260601T150000Z,gdelt,gdelt,[GDELT] Bambu Lab Launches A2L : Creative Playground . Extra Large . (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/bambu-lab-launches-a2l-creative-playground-extra-large/2356029),https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/bambu-lab-launches-a2l-creative-playground-extra-large/2356029,mall event,1,launch
gdelt_9,20260601T130000Z,gdelt,gdelt,[GDELT] Fate Therapeutics Showcases Clinical Data for FT836 at the American Society of Cancer Oncology Annual Meeting (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/fate-therapeutics-showcases-clinical-data-for-ft836-at-the-american-society-of-cancer-oncology-annual-meeting/2355828),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/fate-therapeutics-showcases-clinical-data-for-ft836-at-the-american-society-of-cancer-oncology-annual-meeting/2355828,concert / arena event,1,show
gdelt_10,20260601T120000Z,gdelt,gdelt,[GDELT] Generali Expands Deployment of Intermap AI - Enabled Risk Platform in Central and Eastern Europe (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/generali-expands-deployment-of-intermaps-ai-enabled-risk-platform-in-central-and-eastern-europe/2355684),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/generali-expands-deployment-of-intermaps-ai-enabled-risk-platform-in-central-and-eastern-europe/2355684,holiday / long weekend,1,easter
gdelt_11,20260601T120000Z,gdelt,gdelt,[GDELT] Nayax Launches AI - Powered Product Discovery for Retailers (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/nayax-launches-ai-powered-product-discovery-for-retailers/2355706),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/nayax-launches-ai-powered-product-discovery-for-retailers/2355706,mall event,1,launch
gdelt_12,20260601T120000Z,gdelt,gdelt,"[GDELT] Drake International Launches Drake Force for Good Day , a Global Commitment to Building the Workforce of Tomorrow (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/drake-international-launches-drake-force-for-good-day-a-global-commitment-to-building-the-workforce-of-tomorrow/2355674)",https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/drake-international-launches-drake-force-for-good-day-a-global-commitment-to-building-the-workforce-of-tomorrow/2355674,mall event,1,launch
gdelt_13,20260601T120000Z,gdelt,gdelt,"[GDELT] Drake International Launches Drake Force for Good Day , a Global Commitment to Building the Workforce of Tomorrow (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/drake-international-launches-drake-force-for-good-day-a-global-commitment-to-building-the-workforce-of-tomorrow/2355673)",https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/drake-international-launches-drake-force-for-good-day-a-global-commitment-to-building-the-workforce-of-tomorrow/2355673,mall event,1,launch
gdelt_14,20260601T084500Z,gdelt,gdelt,[GDELT] Asimily Launches Segmentation Orchestration to Protect Connected Devices from AI - Era Attacks (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/asimily-launches-segmentation-orchestration-to-protect-connected-devices-from-ai-era-attacks/2355483),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/asimily-launches-segmentation-orchestration-to-protect-connected-devices-from-ai-era-attacks/2355483,mall event,1,launch
gdelt_15,20260601T071500Z,gdelt,gdelt,[GDELT] Italy bans Kanye West concert over security concerns (Source: https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/italy-bans-kanye-west-concert-over-security-concerns/2355358),https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/italy-bans-kanye-west-concert-over-security-concerns/2355358,concert / arena event,1,concert
gdelt_16,20260601T071500Z,gdelt,gdelt,"[GDELT] SB19 , Ben , Flow G top lineup for  OPM Con Generations (Source: https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/show-times/sb19-benben-flow-g-top-lineup-for-opm-con-generations/2355345)",https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/show-times/sb19-benben-flow-g-top-lineup-for-opm-con-generations/2355345,concert / arena event,1,show
gdelt_17,20260601T071500Z,gdelt,gdelt,[GDELT] SM Mall of Asia celebrates 20th anniversary with Ben and Adie at Summer in the Sky Music Festival (Source: https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/sm-mall-of-asia-celebrates-20th-anniversary-with-benben-and-adie-at-summer-in-the-sky-music-festival/2355404),https://www.manilatimes.net/2026/06/01/entertainment-lifestyle/sm-mall-of-asia-celebrates-20th-anniversary-with-benben-and-adie-at-summer-in-the-sky-music-festival/2355404,concert / arena event,1,music festival
gdelt_18,20260601T064500Z,gdelt,gdelt,[GDELT] Vaidio to Showcase AI Vision Innovations and Real - Time Operational Intelligence at COMPUTEX 2026 (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/vaidio-to-showcase-ai-vision-innovations-and-real-time-operational-intelligence-at-computex-2026/2355387),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/vaidio-to-showcase-ai-vision-innovations-and-real-time-operational-intelligence-at-computex-2026/2355387,concert / arena event,1,show
gdelt_19,20260601T064500Z,gdelt,gdelt,[GDELT] Endeavour Reports Fatal Accident at Lafigué Mine (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/endeavour-reports-fatal-accident-at-lafigue-mine/2355423),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/endeavour-reports-fatal-accident-at-lafigue-mine/2355423,traffic / road incident,1,accident
gdelt_20,20260601T051500Z,gdelt,gdelt,[GDELT] NVIDIA Launches Alpamayo 2 Super Open Reasoning Model for Robotaxis (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/nvidia-launches-alpamayo-2-super-open-reasoning-model-for-robotaxis/2355362),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/nvidia-launches-alpamayo-2-super-open-reasoning-model-for-robotaxis/2355362,mall event,1,launch
gdelt_21,20260601T041500Z,gdelt,gdelt,"[GDELT] China International ITS Industry Expo 2026 Concludes , Showcasing China Strength Through Cutting - Edge Capabilities (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/china-international-its-industry-expo-2026-concludes-showcasing-chinas-strength-through-cutting-edge-capabilities/2355322)",https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/china-international-its-industry-expo-2026-concludes-showcasing-chinas-strength-through-cutting-edge-capabilities/2355322,concert / arena event,1,show
gdelt_22,20260601T041500Z,gdelt,gdelt,[GDELT] Hankook Ventus Delivers Unwavering Performance Throughout WRC FORUM8 Rally Japan Ever - Changing Conditions (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/hankooks-ventus-delivers-unwavering-performance-throughout-wrc-forum8-rally-japans-ever-changing-conditions/2355303),https://www.manilatimes.net/2026/06/01/tmt-newswire/pr-newswire/hankooks-ventus-delivers-unwavering-performance-throughout-wrc-forum8-rally-japans-ever-changing-conditions/2355303,rally / protest,1,rally
gdelt_23,20260531T201500Z,gdelt,gdelt,[GDELT] Ballot counting starts in Malta general election (Source: https://www.manilatimes.net/2026/06/01/world/americas-emea/ballot-counting-starts-in-malta-general-election/2355175),https://www.manilatimes.net/2026/06/01/world/americas-emea/ballot-counting-starts-in-malta-general-election/2355175,political event,1,election
gdelt_24,20260531T201500Z,gdelt,gdelt,[GDELT] Hundreds march in Peru against right - wing presidential candidate (Source: https://www.manilatimes.net/2026/06/01/world/americas-emea/hundreds-march-in-peru-against-right-wing-presidential-candidate/2355174),https://www.manilatimes.net/2026/06/01/world/americas-emea/hundreds-march-in-peru-against-right-wing-presidential-candidate/2355174,rally / protest,1,march
gdelt_33,20260531T193000Z,gdelt,gdelt,[GDELT] Glyco Harmony Drops [ URGENT REPORT 2026 ] GlycoHarmony Shocking Complete Scientific Breakdown of Benefits Everyone Is Talking (Source: https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/glyco-harmony-drops-urgent-report-2026-glycoharmony-shocking-complete-scientific-breakdown-of-benefits-everyone-is-talking/2355266),https://www.manilatimes.net/2026/06/01/tmt-newswire/globenewswire/glyco-harmony-drops-urgent-report-2026-glycoharmony-shocking-complete-scientific-breakdown-of-benefits-everyone-is-talking/2355266,traffic / road incident,1,breakdown
gdelt_25,20260531T170000Z,gdelt,gdelt,[GDELT] Trump shifting Asia policy could hurt PH – political analyst (Source: https://www.manilatimes.net/2026/06/01/news/national/trumps-shifting-asia-policy-could-hurt-ph-political-analyst/2355229),https://www.manilatimes.net/2026/06/01/news/national/trumps-shifting-asia-policy-could-hurt-ph-political-analyst/2355229,political event,1,political
gdelt_26,20260530T144500Z,gdelt,gdelt,[GDELT] Extremely Severe Alert on phones : Loud alarm warns of bad weather in Delhi NCR  such alert for basic thunderstorm (Source: https://www.livemint.com/news/india/extremely-severe-alert-on-phones-loud-alarm-warns-of-bad-weather-in-delhi-ncr-such-alert-for-basic-thunderstorm-11780143829690.html),https://www.livemint.com/news/india/extremely-severe-alert-on-phones-loud-alarm-warns-of-bad-weather-in-delhi-ncr-such-alert-for-basic-thunderstorm-11780143829690.html,weather / flood alert,1,thunderstorm
gdelt_27,20260530T124500Z,gdelt,gdelt,[GDELT] Delhi - NCR residents receive  Extremely Severe Alert  on phones ; first such after SACHET launch (Source: https://indianexpress.com/article/india/delhi-ncr-extremely-severe-alert-phones-sachet-launch-10715893/),https://indianexpress.com/article/india/delhi-ncr-extremely-severe-alert-phones-sachet-launch-10715893/,mall event,1,launch
gdelt_28,20260530T114500Z,gdelt,gdelt,"[GDELT] Delhi weather update : IMD issues yellow alert as light rain , lightning and strong winds likely (Source: https://economictimes.indiatimes.com/news/new-updates/delhi-weather-update-rain-thunderstorm-alert-delhi-ncr-imd-issues-yellow-alert-as-light-rain-lightning-and-strong-winds-likely/articleshow/131408067.cms)",https://economictimes.indiatimes.com/news/new-updates/delhi-weather-update-rain-thunderstorm-alert-delhi-ncr-imd-issues-yellow-alert-as-light-rain-lightning-and-strong-winds-likely/articleshow/131408067.cms,concert / arena event,1,show
gdelt_34,20260529T201500Z,gdelt,gdelt,[GDELT] Filhome Builders launches Steelyes Main Door Collection (Source: https://www.manilatimes.net/2026/05/30/tmt-newswire/filhome-builders-launches-steelyes-main-door-collection/2354447),https://www.manilatimes.net/2026/05/30/tmt-newswire/filhome-builders-launches-steelyes-main-door-collection/2354447,mall event,1,launch
gdelt_35,20260529T140000Z,gdelt,gdelt,[GDELT] Roofing Reality Check : Risk Is Rising Even in Quiet Storm Years (Source: https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/roofing-reality-check-risk-is-rising-even-in-quiet-storm-years/2354616),https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/roofing-reality-check-risk-is-rising-even-in-quiet-storm-years/2354616,weather / flood alert,1,storm
gdelt_36,20260529T114500Z,gdelt,gdelt,"[GDELT] Click Holdings Limited ( CLIK ) Acquires Hong Kong Construction HR Tech Company , Targeting Over HK$50 Million Annual Revenue in New Segment Within Two Years (Source: https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/click-holdings-limited-clik-acquires-hong-kong-construction-hr-tech-company-targeting-over-hk50-million-annual-revenue-in-new-segment-within-two-years/2354468)",https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/click-holdings-limited-clik-acquires-hong-kong-construction-hr-tech-company-targeting-over-hk50-million-annual-revenue-in-new-segment-within-two-years/2354468,traffic / road incident,1,construction
gdelt_37,20260529T111500Z,gdelt,gdelt,[GDELT] Power Support Accelerates Livelihood Project Construction in Jinchang (Source: https://www.manilatimes.net/2026/05/29/tmt-newswire/pr-newswire/power-support-accelerates-livelihood-project-construction-in-jinchang/2354436),https://www.manilatimes.net/2026/05/29/tmt-newswire/pr-newswire/power-support-accelerates-livelihood-project-construction-in-jinchang/2354436,traffic / road incident,1,construction
gdelt_38,20260528T194500Z,gdelt,gdelt,"[GDELT] Global Times : Central Asia first urban light rail launches operation in Astana , marking a major BRI milestone for China and Kazakhstan (Source: https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/global-times-central-asias-first-urban-light-rail-launches-operation-in-astana-marking-a-major-bri-milestone-for-china-and-kazakhstan/2354105)",https://www.manilatimes.net/2026/05/29/tmt-newswire/globenewswire/global-times-central-asias-first-urban-light-rail-launches-operation-in-astana-marking-a-major-bri-milestone-for-china-and-kazakhstan/2354105,mall event,1,launch
gdelt_39,20260528T130000Z,gdelt,gdelt,[GDELT] 10X Health Launches New Supplements to Address Mobility & Circulation (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/10x-health-launches-new-supplements-to-address-mobility-circulation/2353676),https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/10x-health-launches-new-supplements-to-address-mobility-circulation/2353676,mall event,1,launch
gdelt_40,20260528T130000Z,gdelt,gdelt,[GDELT] Premier Truck Rental Promotes Andy DeLaGarza to VP of Sales and Amy Maxwell to VP of Marketing (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/premier-truck-rental-promotes-andy-delagarza-to-vp-of-sales-and-amy-maxwell-to-vp-of-marketing/2353666),https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/premier-truck-rental-promotes-andy-delagarza-to-vp-of-sales-and-amy-maxwell-to-vp-of-marketing/2353666,mall event,1,promo
gdelt_41,20260528T124500Z,gdelt,gdelt,"[GDELT] ZenaTech Enters the AI Data Center Construction Market with ZenaWorx , a Drone - based 3D Digital Progress Monitoring Software (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/zenatech-enters-the-ai-data-center-construction-market-with-zenaworx-a-drone-based-3d-digital-progress-monitoring-software/2353635)",https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/zenatech-enters-the-ai-data-center-construction-market-with-zenaworx-a-drone-based-3d-digital-progress-monitoring-software/2353635,traffic / road incident,1,construction
gdelt_42,20260528T121500Z,gdelt,gdelt,"[GDELT] Nordic American Tankers Ltd ( NYSE : NAT ) - Report as per March 31 , 2026 - NAT continues to prosper and raises its dividend . Market conditions for NAT are now the best for several decades . (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/nordic-american-tankers-ltd-nyse-nat-report-as-per-march-31-2026-nat-continues-to-prosper-and-raises-its-dividend-market-conditions-for-nat-are-now-the-best-for-several-decades/2353560)",https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/nordic-american-tankers-ltd-nyse-nat-report-as-per-march-31-2026-nat-continues-to-prosper-and-raises-its-dividend-market-conditions-for-nat-are-now-the-best-for-several-decades/2353560,rally / protest,1,march
gdelt_43,20260528T024500Z,gdelt,gdelt,[GDELT] Wolf Valley Homes Launches Forge Reserve Collection of Luxury Tiny Homes and Park Model Cabins During Spring and Memorial Day Sales Event (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/wolf-valley-homes-launches-forge-reserve-collection-of-luxury-tiny-homes-and-park-model-cabins-during-spring-and-memorial-day-sales-event/2353258),https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/wolf-valley-homes-launches-forge-reserve-collection-of-luxury-tiny-homes-and-park-model-cabins-during-spring-and-memorial-day-sales-event/2353258,mall event,1,launch
gdelt_44,20260528T011500Z,gdelt,gdelt,"[GDELT] Crystal Lagoons Launches New 500 m² Small Lagoons by Crystal Lagoons™ Model , Marking the End of the Commercial Swimming Pool Era (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/pr-newswire/crystal-lagoons-launches-new-500-m-small-lagoons-by-crystal-lagoons-model-marking-the-end-of-the-commercial-swimming-pool-era/2353225)",https://www.manilatimes.net/2026/05/28/tmt-newswire/pr-newswire/crystal-lagoons-launches-new-500-m-small-lagoons-by-crystal-lagoons-model-marking-the-end-of-the-commercial-swimming-pool-era/2353225,mall event,1,launch
gdelt_45,20260527T213000Z,gdelt,gdelt,"[GDELT] Americold Launches  Fit for Purpose  Initiative , Advancing Strategic Priorities With Targeted Incremental Annual Overhead Savings of More Than $25 Million (Source: https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/americold-launches-fit-for-purpose-initiative-advancing-strategic-priorities-with-targeted-incremental-annual-overhead-savings-of-more-than-25-million/2353175)",https://www.manilatimes.net/2026/05/28/tmt-newswire/globenewswire/americold-launches-fit-for-purpose-initiative-advancing-strategic-priorities-with-targeted-incremental-annual-overhead-savings-of-more-than-25-million/2353175,mall event,1,launch
gdelt_46,20260527T150000Z,gdelt,gdelt,[GDELT] Extreme Steel Inc . Highlights Growing Complexity of Federal Construction and the Importance of Integrated Delivery (Source: https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/extreme-steel-inc-highlights-growing-complexity-of-federal-construction-and-the-importance-of-integrated-delivery/2352848),https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/extreme-steel-inc-highlights-growing-complexity-of-federal-construction-and-the-importance-of-integrated-delivery/2352848,traffic / road incident,1,construction
gdelt_47,20260527T141500Z,gdelt,gdelt,[GDELT] Mediacom Communications Ramps Up Speeds with Debut of 5 - Gig Internet in Iowa (Source: https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/mediacom-communications-ramps-up-speeds-with-debut-of-5-gig-internet-in-iowa/2352811),https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/mediacom-communications-ramps-up-speeds-with-debut-of-5-gig-internet-in-iowa/2352811,concert / arena event,1,gig
gdelt_48,20260527T124500Z,gdelt,gdelt,[GDELT] Bird Announces Launch of Private Placement of Senior Notes and Expected Amendments to Its Credit Agreement (Source: https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/bird-announces-launch-of-private-placement-of-senior-notes-and-expected-amendments-to-its-credit-agreement/2352649),https://www.manilatimes.net/2026/05/27/tmt-newswire/globenewswire/bird-announces-launch-of-private-placement-of-senior-notes-and-expected-amendments-to-its-credit-agreement/2352649,mall event,1,launch
gdelt_49,20260527T034500Z,gdelt,gdelt,[GDELT] ICF8｜XCMG Excavator Showcase : A Shared Path Toward a Greener Future (Source: https://www.manilatimes.net/2026/05/27/tmt-newswire/pr-newswire/icf8xcmg-excavator-showcase-a-shared-path-toward-a-greener-future/2352251),https://www.manilatimes.net/2026/05/27/tmt-newswire/pr-newswire/icf8xcmg-excavator-showcase-a-shared-path-toward-a-greener-future/2352251,concert / arena event,1,show
gdelt_50,20260526T141500Z,gdelt,gdelt,"[GDELT] Performance Shipping Inc . Reports Financial Results for the First Quarter Ended March 31 , 2026 (Source: https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/performance-shipping-inc-reports-financial-results-for-the-first-quarter-ended-march-31-2026/2351858)",https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/performance-shipping-inc-reports-financial-results-for-the-first-quarter-ended-march-31-2026/2351858,rally / protest,1,march
gdelt_51,20260526T130000Z,gdelt,gdelt,[GDELT] TeraWulf Expands Infrastructure Platform with Acquisition of 1+ GW Eastern Kentucky HPC Campus (Source: https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/terawulf-expands-infrastructure-platform-with-acquisition-of-1-gw-eastern-kentucky-hpc-campus/2351688),https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/terawulf-expands-infrastructure-platform-with-acquisition-of-1-gw-eastern-kentucky-hpc-campus/2351688,holiday / long weekend,1,easter
gdelt_52,20260526T130000Z,gdelt,gdelt,[GDELT] Rectitude Holdings Ltd Ramps up Supply Chain and Fleet Capacity Amid Surging Singapore Construction Demand (Source: https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/rectitude-holdings-ltd-ramps-up-supply-chain-and-fleet-capacity-amid-surging-singapore-construction-demand/2351672),https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/rectitude-holdings-ltd-ramps-up-supply-chain-and-fleet-capacity-amid-surging-singapore-construction-demand/2351672,traffic / road incident,1,construction
gdelt_53,20260526T114500Z,gdelt,gdelt,[GDELT] Baker Hughes Extends and Expands Integrated Well Construction Contract with Petrobras (Source: https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/baker-hughes-extends-and-expands-integrated-well-construction-contract-with-petrobras/2351561),https://www.manilatimes.net/2026/05/26/tmt-newswire/globenewswire/baker-hughes-extends-and-expands-integrated-well-construction-contract-with-petrobras/2351561,traffic / road incident,1,construction
