post_id,created_at,raw_text,translated_text,source_type,source_file,reliability_label,annotator_name,annotation_time,notes
gdelt_10,20260508T124500Z,[GDELT] Garden City Skyway twinning project ramping up (Source: https://www.niagarafallsreview.ca/news/niagara-region/garden-city-skyway-twinning-construction-details/article_1ee46b85-c2b6-59c7-b927-15a31dec70dc.html),[GDELT] Garden City Skyway twinning project ramping up (Source: https://www.niagarafallsreview.ca/news/niagara-region/garden-city-skyway-twinning-construction-details/article_1ee46b85-c2b6-59c7-b927-15a31dec70dc.html),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:20:45,Not in PH
gdelt_11,20260508T113000Z,[GDELT] How Corruption Exacerbates the Climate Crisis in the Philippines (Source: https://thediplomat.com/2026/05/how-corruption-exacerbates-the-climate-crisis-in-the-philippines/),[GDELT] How Corruption Exacerbates the Climate Crisis in the Philippines (Source: https://thediplomat.com/2026/05/how-corruption-exacerbates-the-climate-crisis-in-the-philippines/),gdelt,,0.0,Joshua Pagallaman,2026-05-11T19:20:57,Not trafic related
2053758841855316472,2026-05-11T08:47:19.000Z,@sangeeta2599 Mmda bus stop i m waiting,,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:21:15,Not traffic related
2053743334481621180,2026-05-11T07:45:42.000Z,"MMDA ADVISORY: Rallyist are sighted at IBP Road front of House of Representatives South Gate, more or less 400 pax, as of 2:10 PM. Personnel of PNP and MMDA are on site managing traffic. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053715831360761982,2026-05-11T05:56:25.000Z,MMDA ALERT: Road crash incident at Commonwealth Ever EB involving 2 motorcycles as of 1:50 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053715719096000556,2026-05-11T05:55:58.000Z,"MMDA ALERT: Multiple collision at Commonwealth Atherton EB involving van, SUV and car as of 1:46 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053692746721046957,2026-05-11T04:24:41.000Z,MMDA ALERT: Stalled dump truck due to mechanical trouble at C5 Katipunan Ave. Miriam College NB as of 11:22 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053692706229194798,2026-05-11T04:24:31.000Z,MMDA ALERT: Road crash incident at EDSA Shaw Blvd intersection NB involving taxi and SUV as of 12:05 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053692669130625226,2026-05-11T04:24:22.000Z,MMDA ALERT: Road crash incident at EDSA Estrella NB involving closed van and SUV as of 12:05 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053665372885381331,2026-05-11T02:35:54.000Z,MMDA ALERT: Road crash incident at C5 Eastwood SB involving SUV and taxi as of 10:22 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053654118057791837,2026-05-11T01:51:11.000Z,"MMDA ADVISORY: Rallyists are sighted at Batasan Road House of Representative South Gate, more or less 200 pax, as of 9:35 AM. Personnel from PNP and MMDA are on site managing traffic. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053653516498198670,2026-05-11T01:48:48.000Z,MMDA ALERT: Road crash incident at C5 Lanuza NB involving van and pick-up as of 9:38 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053650772672593968,2026-05-11T01:37:53.000Z,MMDA ALERT: Road crash incident at Mindanao extension FCM EB involving motorcycle and pedestrian as of 9:34 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053649876555337751,2026-05-11T01:34:20.000Z,MMDA ALERT: Stalled bus due to mechanical trouble at Quezon Ave. Capitol WB as of 9:20 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053649743373537362,2026-05-11T01:33:48.000Z,MMDA ALERT: Road crash incident at EDSA Santolan flyover SB involving pick-up and SUV as of 9:05 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053649651631599684,2026-05-11T01:33:26.000Z,MMDA ALERT: Road crash incident at Mabini Bridge SB involving  car and motorcycle as of 8:58 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053648767493288408,2026-05-11T01:29:55.000Z,@MMDA Ano pong city and roads ang walang window hour for coding? Ty.,,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: question/subjective noise
2053643549930148011,2026-05-11T01:09:11.000Z,"🚗 C5 Coding Hours in Metro Manila 🇵🇭

🕖 Morning: 7AM–10AM
🕔 Evening: 5PM–8PM
✅ Window Hours: 10:01AM–4:59PM
📌 No Coding on Weekends &amp; Holidays

Avoid traffic violations and stay updated with MMDA rules. 🚦
🌐 https://t.co/RJE4C3IE8c

#C5 #CodingHours #MMDA #TrafficUpdate https://t.co/ahppZedxzz",,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:21:30,Coding hours in C5
2053635356277518681,2026-05-11T00:36:38.000Z,MMDA ALERT: Stalled tanker due to mechanical trouble at Mindanao Sauyo U-turn slot SB as of 8:27 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053625368352014638,2026-05-10T23:56:56.000Z,MMDA ALERT: Road crash incident at MIA Coastal intersection EB involving AUV and motorcycle as of 7:52 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053624669547417962,2026-05-10T23:54:10.000Z,MMDA ALERT: Road crash incident at C5 Station 12 Libis SB involving pick-up and car as of 7:46 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053624624244756697,2026-05-10T23:53:59.000Z,MMDA ALERT: Road crash incident at C5 Eastwood NB involving PUJ and motorcycle as of 7:33 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053587472614109569,2026-05-10T21:26:21.000Z,MMDA ALERT: Road crash incident at EDSA Guadalupe bridge NB  involving van and motorcycle as of 5:00 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053521434509807954,2026-05-10T17:03:57.000Z,MMDA ALERT: Road crash incident at EDSA NIA NB  involving car and motorcycle as of 12:15 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053521274778050703,2026-05-10T17:03:19.000Z,MMDA ALERT: Road crash incident at Camp Aguinaldo Gate 3  involving car as of 11:58 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053459875535966497,2026-05-10T12:59:20.000Z,@freakonaomics Magic Mushrooms and Amphetamines and MMDA from Myristicin,,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:21:54,Not related
2053437156375535659,2026-05-10T11:29:03.000Z,"@MMDA @MMDAtweets would like to report illegal parking for patrons of Choir garden along the length of Annapolis at, San Juan, MABUHAY LANE https://t.co/lZm9Cp6myX",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,Joshua Pagallaman,2026-05-11T19:22:19,May Cause Traffic Build up
2053433138043568337,2026-05-10T11:13:05.000Z,MMDA ALERT: Road crash incident at Commonwealth Tandang Sora WB involving two motorcycles as of 6:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053402764739551259,2026-05-10T09:12:24.000Z,MMDA ALERT: Road crash incident at EDSA Kamuning Flyover SB involving car and van as of 5:06 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053400624826667122,2026-05-10T09:03:53.000Z,MMDA ALERT: Road crash incident at EDSA SM North NB involving car and taxi as of 3:26 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053377679697879480,2026-05-10T07:32:43.000Z,MMDA ALERT: Road crash incident at C5 Ortigas Flyover NB involving a two motorcycles as of 3:16 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053351711029473455,2026-05-10T05:49:31.000Z,"Your bicycle lanes are useless. 2026 May 11 1pm, majority of said lanes are occupied by cars illegally parked around Annapolis, Missouri, Connecticut with “No Parking” signs in plain sight and enforcers doing nothing. What a joke. @franciszamora30 @sanjuancityncr @MMDA",,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:22:36,Not in PH
2053314019927396540,2026-05-10T03:19:45.000Z,MMDA ALERT: Road crash incident at Katipunan C.P Garcia SB involving motorcycle and bicycle as of 11:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053313618956206354,2026-05-10T03:18:10.000Z,MMDA ALERT: Stalled UV express due to flat tire at EDSA Trinoma NB as of 10:48 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053304817230188642,2026-05-10T02:43:11.000Z,"MMDA ALERT: Stalled SUV due to flat tire at EDSA SM North, North Ave. NB as of 10:23 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053299330338214047,2026-05-10T02:21:23.000Z,@RadioGenoa @govphOfficial @zerowastephl @MMDA @govphOfficial @Official_DILG @PHcities Phils catching up to Indonesia in waste problems,,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:22:52,Not Traffic Related
2053288845970755813,2026-05-10T01:39:43.000Z,MMDA ALERT: Road crash incident at Sales Rotonda involving motorcycle and taxi as of 9:28 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053285288873746527,2026-05-10T01:25:35.000Z,"🚗 Pasay Coding Hours 2025 🇵🇭

🕖 Coding Hours:
7AM–10AM
5PM–8PM
✅ Window Hours: 10:01AM–4:59PM
📌 No Coding on Weekends
💰 Fine: ₱300–₱500
Stay updated with MMDA traffic rules and avoid violations. 🚦

🌐 https://t.co/Fvy4bk2hO7
#Pasay #CodingHours #MMDA #TrafficUpdate",,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:23:07,Coding Hours
2053279458996683093,2026-05-10T01:02:25.000Z,MMDA ALERT: Stalled SUV due to mechanical trouble at Commonwealth Sandigan EB as of 8:46 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053253245079032161,2026-05-09T23:18:15.000Z,MMDA ALERT: Road crash incident at C5 before Lanuza Intersection NB involving car and tanker as of 7:02 AM. Two lanes occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053242018105884801,2026-05-09T22:33:39.000Z,MMDA ALERT: Road crash incident at Commonwealth Meralco U-turn slot EB involving 2 motorcycles as of 6:26 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053241661522858287,2026-05-09T22:32:14.000Z,MMDA ALERT: Road crash incident at C5 Lanuza NB involving PUJ and motorcycle as of 6:16 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053241595307450537,2026-05-09T22:31:58.000Z,MMDA ALERT: Hit and run incident at C5 J. Vargas NB involving 2 motorcycles as of 6:14 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053241564198269205,2026-05-09T22:31:50.000Z,MMDA ALERT: Stalled dump truck due to flat tire at East Ave. BIR WB as of 6:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053241497102004300,2026-05-09T22:31:34.000Z,"MMDA ALERT: Multiple Collision at Commonwealth Odigal WB involving 2 motorcycles, PUJ and car as of 6:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053237593844731987,2026-05-09T22:16:04.000Z,"Bandlab can go and suck a lemon. Que es esa mmda that now you only get to make one song every month??

You guys were heroes to me and you have betrayed me. ""Unlimited creativity"" my dead fishes.",,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,auto_bootstrap,2026-05-11T18:52:18,auto: question/subjective noise
2053235081959895530,2026-05-09T22:06:05.000Z,CHUGGING WATER TO SOBER MYSELF UP SO THAT MMDA MAKES FULL EFFECT #youngho,,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:23:25,Not Traffic Related
2053157431107334500,2026-05-09T16:57:32.000Z,MMDA ALERT: Stalled truck due to mechanical problem at C5 Katipunan Magsaysay NB as of 12:25 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053153785565098035,2026-05-09T16:43:02.000Z,MMDA ALERT: Road crash incident at C5 Katipunan Berkely NB involving Wing van and Tanker as of 12:04 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053152120241844488,2026-05-09T16:36:25.000Z,MMDA ALERT: Road crash incident at C5 Lanuza after intersection NB involving dump truck and taxi as of 12:12 AM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053145768916394003,2026-05-09T16:11:11.000Z,"@MMDA Thank you 😊.  This is very much appreciated. Traffic has eased up, and much better than before.
Maybe because cars have lessen due t high gasoliine cost",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,Joshua Pagallaman,2026-05-11T19:23:42,Traffic Update
2053129047279096233,2026-05-09T15:04:44.000Z,MMDA ALERT: Road crash incident at Mia road U-turn slot SB involving van and puj as of 10:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053125028712169648,2026-05-09T14:48:46.000Z,MMDA ALERT: Road crash incident at EDSA SM North NB involving SUV and car as of 10:38 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053110151746588867,2026-05-09T13:49:39.000Z,MMDA ALERT: Stalled closed van due to mechanical problem at C5 Katipunan Ave. Ayala Heights NB as of 9:45 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053097230752682363,2026-05-09T12:58:19.000Z,MMDA ALERT: Road crash incident at FB Harrison P. Ocampo Intersection SB involving a motorcycle as of 8:41 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053083478376542295,2026-05-09T12:03:40.000Z,MMDA ALERT: Road crash incident at Marcos Highway Burger King before U-turn Slot EB involving taxi and van as of 7:37 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053064678033793263,2026-05-09T10:48:57.000Z,MMDA ALERT: Road crash incident at Marcos Highway Santolan LRT in front of Petron EB involving truck and AUV as of 6:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053064344892752119,2026-05-09T10:47:38.000Z,MMDA ALERT: Road crash incident at J. Vargas Ave. Sapphire Road WB involving mixer and car as of 6:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053061342421258742,2026-05-09T10:35:42.000Z,MMDA ALERT: Road crash incident at Quirino Ave. Guazon in front of Petron SB involving wing van and car as of 6:26 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053060010981376478,2026-05-09T10:30:25.000Z,MMDA ALERT: Stalled taxi due to empty gas at EDSA Shaw blvd. tunnel SB as of 6:25 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053059530771292250,2026-05-09T10:28:30.000Z,MMDA ALERT: Road crash incident at C5 Kalayaan Avenue NB involving  motorcycle as of 6:13 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053058471864733847,2026-05-09T10:24:18.000Z,"FIRE ALERT: As of 6:06 PM. Ongoing fire incident at Gatchalian-1, Brgy. San Dionisio, Paranaque City involving a residential area. Now on its 2nd alarm. Firefighters on site. #mmda",,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,Joshua Pagallaman,2026-05-11T19:24:08,Fire Alert causing traffic
2053056052984463501,2026-05-09T10:14:41.000Z,MMDA ALERT: Road crash incident at EDSA Aurora Blvd intersection NB involving 2 motorcycles as of 5:55 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053055780216311826,2026-05-09T10:13:36.000Z,MMDA ALERT: Road crash incident at EDSA Connecticut in front of Ford SB involving AUV and SUV as of 5:33 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053055348618277289,2026-05-09T10:11:53.000Z,MMDA ALERT: Road crash incident at EDSA Megamall NB involving car and motorcycle as of 5:10 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053046956868681953,2026-05-09T09:38:32.000Z,"@TANGEDCO_Offcl no power supply for the past 3 hrs in MMDA colony, Arumbakkam. Kindly rectify the issue at the earliest.",,social_media,x_recent_posts_translated_20260511_1657.csv,0.0,Joshua Pagallaman,2026-05-11T19:24:25,not PH
2053028562538786970,2026-05-09T08:25:27.000Z,MMDA ALERT: Road crash incident at C5 Green Meadows before Intersection NB involving 2 motorcycles as of 4:06 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
2053018786853421430,2026-05-09T07:46:36.000Z,MMDA ALERT: Stalled wing van due to flat tire at C5 Libis Flyover NB as of 3:32 PM. One lane occupied. MMDA enforcers are on site managing traffic. #mmda,,social_media,x_recent_posts_translated_20260511_1657.csv,1.0,auto_bootstrap,2026-05-11T18:52:18,auto: mmda/event signal
